,occupancy,humidity,temperature,date,time,timestamp
89,-1.0,-1.0,-1.0,2021-12-15,10:00:00,1639562400.0
90,-1.0,-1.0,-1.0,2021-12-15,12:00:00,1639569600.0
91,-1.0,-1.0,-1.0,2021-12-15,14:00:00,1639576800.0
92,4.0,27.0,26.2,2021-12-15,16:00:00,1639584000.0
93,3.0,26.0,26.3,2021-12-15,18:00:00,1639591200.0
94,7.0,25.0,27.2,2021-12-15,20:00:00,1639598400.0
100,0.0,25.0,26.0,2021-12-16,08:00:00,1639641600.0
102,6.0,22.0,26.6,2021-12-16,12:00:00,1639656000.0
103,4.0,22.0,26.3,2021-12-16,14:00:00,1639663200.0
104,4.0,22.0,26.4,2021-12-16,16:00:00,1639670400.0
105,10.0,20.0,26.9,2021-12-16,18:00:00,1639677600.0
106,3.0,20.0,26.8,2021-12-16,20:00:00,1639684800.0
107,4.0,19.0,26.8,2021-12-16,22:00:00,1639692000.0
