,Bin1,Bin2,date,timestamp
0,90,83,2021-12-08,1638921600.0
1,100,100,2021-12-09,1639008000.0
2,95,95,2021-12-10,1639094400.0
3,66,95,2021-12-11,1639180800.0
4,89,95,2021-12-12,1639267200.0
5,79,98,2021-12-13,1639353600.0
6,63,91,2021-12-14,1639440000.0
7,64,88,2021-12-15,1639526400.0
8,60,61,2021-12-16,1639612800.0
