,occupancy,bin1,bin2,H2S,temperature,humidity,date,time
0,5,51.69590643274853,100.0,64.58557588805166,60.0,0.0,2021-12-07,09:00:00
1,6,47.789473684210506,100.0,72.33584499461787,68.8888888888888,37.03703703703704,2021-12-07,09:10:00
2,6,30.058479532163716,100.0,74.16576964477933,39.999999999999886,51.85185185185186,2021-12-07,09:20:00
5,7,56.842105263157876,100.0,73.51991388589882,35.55555555555543,51.85185185185186,2021-12-07,09:50:00
6,13,53.59064327485378,100.0,76.96447793326158,2.2222222222221717,70.37037037037038,2021-12-07,10:00:00
7,12,61.12280701754384,100.0,76.53390742734123,11.111111111111086,70.37037037037038,2021-12-07,10:10:00
8,15,39.1345029239766,100.0,81.16254036598492,11.111111111111086,70.37037037037038,2021-12-07,10:20:00
18,17,83.60233918128654,100.0,68.67599569429494,0.0,70.37037037037038,2021-12-07,12:10:00
19,20,83.60233918128654,100.0,69.96770721205597,8.8888888888888,70.37037037037038,2021-12-07,12:20:00
66,6,80.77192982456138,100.0,47.68568353067815,4.444444444444457,59.25925925925927,2021-12-07,20:10:00
67,4,80.77192982456138,100.0,46.07104413347686,6.666666666666629,59.25925925925927,2021-12-07,20:20:00
68,3,82.1520467836257,100.0,48.33153928955866,24.444444444444343,55.55555555555556,2021-12-07,20:30:00
141,1,28.91228070175437,52.06874602164227,77.61033369214209,37.777777777777715,85.18518518518519,2021-12-08,08:53:20
142,1,28.584795321637415,53.27816677275621,74.27341227125942,53.33333333333326,81.48148148148148,2021-12-08,09:10:00
143,1,28.374269005847935,53.2622533418205,95.58665231431647,64.44444444444434,77.77777777777779,2021-12-08,09:20:00
144,2,27.999999999999986,50.77975811584978,76.10333692142088,71.11111111111109,81.48148148148148,2021-12-08,09:30:00
145,5,27.57894736842104,60.280076384468494,75.45748116254036,71.11111111111109,81.48148148148148,2021-12-08,09:40:00
146,4,27.345029239766063,41.45448758752387,80.19375672766415,64.44444444444434,88.88888888888889,2021-12-08,09:50:00
147,2,27.48538011695905,41.43857415658817,84.06889128094726,66.66666666666663,85.18518518518519,2021-12-08,10:00:00
148,3,25.707602339181264,41.37492043284532,100.0,66.66666666666663,88.88888888888889,2021-12-08,10:10:00
149,5,25.239766081871338,52.418841502227885,87.94402583423036,64.44444444444434,88.88888888888889,2021-12-08,10:20:00
